tarih;konut_satis;USD_TRY;total_kredi;gercek_kira;konut_fiyat_endeksi;konut_faiz;issizlik_orani
2013-01;87.444,00;1,78;762.355.071,00;297,54;56,90;9,78;10,10
2013-02;88.519,00;1,81;775.545.498,00;298,62;57,60;9,58;10,10
2013-03;97.956,00;1,80;802.055.367,00;299,99;58,40;9,31;10,10
2013-04;95.381,00;1,83;815.676.222,00;301,50;59,20;9,06;10,10
2013-05;103.261,00;1,90;861.174.470,00;302,87;60,00;8,77;10,10
2013-06;96.424,00;1,93;891.250.796,00;304,75;60,60;8,30;10,10
2013-07;106.636,00;1,96;900.005.585,00;306,30;61,20;8,91;10,10
2013-08;84.480,00;2,02;935.978.558,00;308,02;61,50;9,78;10,00
2013-09;102.280,00;1,98;956.996.392,00;309,94;62,00;10,73;10,00
2013-10;76.344,00;2,03;956.240.522,00;311,75;62,50;10,93;10,00
2013-11;102.681,00;2,07;982.108.266,00;313,86;63,30;10,62;10,00
2013-12;115.784,00;2,22;1.018.735.495,00;315,56;63,60;10,61;10,00
2014-01;87.639,00;2,21;1.047.493.377,00;317,12;64,10;11,30;10,50
2014-02;82.597,00;2,21;1.048.728.722,00;318,48;64,80;13,03;10,50
2014-03;87.617,00;2,13;1.054.659.351,00;319,67;65,70;13,51;9,40
2014-04;83.610,00;2,09;1.051.456.203,00;321,13;66,80;13,52;8,80
2014-05;90.377,00;2,12;1.064.531.293,00;323,04;67,50;12,94;8,40
2014-06;92.936,00;2,12;1.090.914.322,00;325,48;68,20;12,29;9,00
2014-07;85.101,00;2,16;1.089.848.076,00;327,65;69,30;11,46;9,70
2014-08;105.624,00;2,21;1.117.458.890,00;329,92;70,20;11,06;10,10
2014-09;115.786,00;2,25;1.149.227.961,00;332,79;70,90;10,91;10,10
2014-10;95.645,00;2,23;1.154.887.364,00;335,33;71,50;10,75;10,90
2014-11;103.783,00;2,30;1.171.994.063,00;336,95;72,40;10,91;10,40
2014-12;134.666,00;2,34;1.209.005.135,00;338,72;73,10;11,01;10,80
2015-01;86.167,00;2,47;1.227.249.366,00;340,63;74,20;11,01;11,90
2015-02;95.021,00;2,59;1.257.262.574,00;342,26;75,40;10,80;11,70
2015-03;116.030,00;2,65;1.287.325.305,00;343,69;76,60;10,82;10,40
2015-04;119.317,00;2,64;1.316.545.705,00;345,63;77,70;10,97;9,60
2015-05;107.888,00;2,70;1.336.108.240,00;347,76;78,90;11,49;8,90
2015-06;110.657,00;2,70;1.361.832.244,00;349,78;79,90;11,87;9,60
2015-07;96.589,00;2,86;1.398.382.392,00;352,50;80,60;12,28;10,00
2015-08;112.463,00;3,02;1.420.988.429,00;355,12;81,10;12,59;10,00
2015-09;92.483,00;2,92;1.437.654.290,00;358,09;81,70;13,57;10,30
2015-10;104.098,00;2,88;1.433.293.486,00;360,65;82,70;14,30;10,50
2015-11;106.008,00;2,92;1.433.212.969,00;363,26;83,70;14,13;10,20
2015-12;142.599,00;3,01;1.452.160.856,00;364,90;84,50;14,01;10,90
2016-01;84.556,00;2,94;1.462.789.790,00;367,72;85,70;14,27;11,50
2016-02;101.703,00;2,88;1.474.594.121,00;369,70;86,60;14,45;11,00
2016-03;117.205,00;2,83;1.468.915.369,00;371,46;87,50;14,45;10,10
2016-04;106.348,00;2,95;1.484.170.580,00;374,64;88,60;14,33;9,10
2016-05;114.800,00;2,91;1.520.059.930,00;377,52;89,70;13,96;9,00
2016-06;106.187,00;2,97;1.522.248.065,00;380,66;90,50;13,84;10,10
2016-07;81.343,00;2,96;1.545.761.251,00;383,45;91,30;13,67;11,00
2016-08;114.751,00;2,97;1.551.697.474,00;386,79;92,30;12,86;11,00
2016-09;108.918,00;3,07;1.573.027.672,00;390,14;92,80;12,09;11,80
2016-10;130.274,00;3,29;1.592.377.343,00;393,52;93,50;12,12;11,90
2016-11;132.655,00;3,50;1.649.953.804,00;395,93;94,00;11,69;11,60
2016-12;142.713,00;3,75;1.686.908.873,00;398,85;94,80;11,42;12,80
2017-01;95.389,00;3,66;1.764.908.970,00;402,21;95,50;11,45;13,50
2017-02;101.468,00;3,67;1.724.170.526,00;404,44;96,70;11,38;12,90
2017-03;128.923,00;3,65;1.782.745.072,00;406,37;97,90;11,06;11,70
2017-04;114.446,00;3,57;1.809.584.468,00;408,55;98,70;11,28;10,50
2017-05;116.558,00;3,52;1.845.264.232,00;411,66;99,80;11,55;9,70
2017-06;97.579,00;3,56;1.869.898.793,00;414,20;100,30;11,72;10,40
2017-07;115.869,00;3,50;1.889.598.561,00;417,84;100,50;12,02;10,60
2017-08;120.198,00;3,48;1.907.050.996,00;421,01;100,80;12,49;10,60
2017-09;140.298,00;3,68;1.942.097.283,00;425,59;101,40;12,87;10,40
2017-10;122.882,00;3,89;1.994.701.841,00;429,14;102,20;13,05;10,50
2017-11;122.732,00;3,84;2.035.851.643,00;432,79;102,80;13,12;10,00
2017-12;132.972,00;3,77;2.045.329.483,00;435,60;103,40;13,52;10,30
2018-01;97.019,00;3,79;2.061.105.286,00;439,17;104,10;14,14;11,00
2018-02;95.953,00;3,89;2.072.257.122,00;441,59;104,80;14,68;10,80
2018-03;110.905,00;4,06;2.133.194.675,00;444,25;105,70;14,79;9,80
2018-04;103.087,00;4,42;2.177.566.546,00;447,53;107,10;14,83;9,30
2018-05;119.655,00;4,63;2.297.403.454,00;450,71;108,60;13,88;9,40
2018-06;119.413,00;4,78;2.283.353.775,00;454,04;109,10;13,10;10,20
2018-07;123.878,00;5,93;2.335.678.865,00;459,33;109,30;16,86;10,70
2018-08;105.154,00;6,31;2.587.738.180,00;464,09;108,70;18,99;11,10
2018-09;127.327,00;5,81;2.488.466.043,00;468,29;107,80;25,18;11,40
2018-10;146.536,00;5,35;2.390.577.421,00;472,13;108,50;28,95;11,70
2018-11;89.626,00;5,32;2.298.625.159,00;475,07;109,20;28,63;12,00
2018-12;136.845,00;5,35;2.304.027.778,00;477,48;108,00;27,82;13,30
2019-01;72.937,00;5,28;2.282.714.354,00;483,82;107,60;26,22;15,10
2019-02;78.450,00;5,46;2.308.867.005,00;486,57;108,60;22,98;15,00
2019-03;105.046,00;5,76;2.417.936.334,00;489,21;109,00;18,16;13,90
2019-04;96.071,00;6,04;2.456.107.718,00;492,19;109,30;17,70;12,90
2019-05;91.937,00;5,81;2.459.622.687,00;496,11;110,20;20,45;12,50
2019-06;61.355,00;5,67;2.447.479.186,00;500,36;111,00;21,81;13,40
2019-07;102.236,00;5,65;2.424.218.503,00;506,03;112,40;21,06;14,10
2019-08;110.538,00;5,71;2.447.586.876,00;511,22;114,40;14,15;14,20
2019-09;146.903,00;5,79;2.447.373.465,00;515,80;115,20;12,98;14,00
2019-10;142.810,00;5,74;2.473.115.968,00;519,41;116,00;13,12;13,30
2019-11;138.372,00;5,86;2.501.534.597,00;522,62;117,10;12,96;12,90
2019-12;202.074,00;5,92;2.564.868.622,00;525,49;118,80;12,69;13,60
2020-01;113.615,00;6,07;2.595.585.732,00;531,47;120,90;11,88;14,10
2020-02;118.753,00;6,35;2.671.319.794,00;535,78;123,70;11,43;13,50
2020-03;108.670,00;6,86;2.768.395.332,00;538,69;125,40;11,40;13,00
2020-04;42.783,00;6,92;2.998.580.516,00;540,94;127,50;11,72;12,80
2020-05;50.936,00;6,82;3.052.801.812,00;543,35;135,90;11,23;12,60
2020-06;190.012,00;6,87;3.141.042.957,00;546,49;139,50;9,30;13,00
2020-07;229.357,00;7,28;3.264.349.098,00;551,94;141,40;9,11;14,60
2020-08;170.408,00;7,56;3.359.054.242,00;556,85;144,40;11,09;13,00
2020-09;136.744,00;7,96;3.406.806.054,00;560,79;146,70;14,16;12,40
2020-10;119.574,00;7,96;3.532.144.817,00;565,45;149,90;15,07;12,80
2020-11;112.483,00;7,68;3.506.541.172,00;569,47;152,20;15,68;12,90
2020-12;105.981,00;7,39;3.470.055.835,00;573,13;154,90;18,19;13,00
2021-01;70.587,00;7,10;3.445.966.108,00;580,19;157,70;18,39;13,40
2021-02;81.222,00;7,69;3.485.653.885,00;585,08;161,70;17,99;14,10
2021-03;111.241,00;8,17;3.605.919.171,00;588,44;165,50;17,74;13,10
2021-04;95.863,00;8,39;3.687.597.976,00;591,93;168,80;18,13;12,90
2021-05;59.166,00;8,63;3.715.784.766,00;596,17;175,40;17,84;12,40
2021-06;134.731,00;8,59;3.768.865.877,00;600,78;180,30;17,90;10,40
2021-07;107.785,00;8,46;3.752.176.711,00;606,68;185,40;17,93;12,10
2021-08;141.400,00;8,58;3.783.863.534,00;613,76;192,70;17,86;12,00
2021-09;147.143,00;9,22;3.884.280.824,00;621,66;198,90;17,90;11,10
2021-10;137.401,00;10,87;4.039.441.513,00;628,60;210,20;17,82;10,70
2021-11;178.814,00;13,36;4.484.955.758,00;636,01;229,20;17,10;10,90
2021-12;226.503,00;13,53;4.721.345.123,00;643,07;247,40;17,31;11,30
2022-01;88.306,00;13,64;4.794.119.759,00;660,79;279,90;18,25;12,10
2022-02;97.587,00;14,60;5.005.406.638,00;675,49;318,00;17,80;11,40
2022-03;134.170,00;14,70;5.268.245.842,00;686,71;347,70;17,97;11,40
2022-04;133.058,00;15,64;5.451.029.219,00;699,54;383,00;18,24;10,60
2022-05;122.768,00;16,98;5.843.425.481,00;715,50;431,10;18,42;10,10
2022-06;150.509,00;17,49;6.134.308.816,00;737,75;470,00;18,18;9,70
2022-07;93.902,00;18,02;6.235.823.918,00;769,01;507,80;18,30;10,60
2022-08;123.491,00;18,31;6.371.952.753,00;802,85;548,20;18,61;9,80
2022-09;113.402,00;18,58;6.570.749.849,00;846,58;575,00;20,26;9,90
2022-10;102.660,00;18,59;6.751.925.512,00;887,82;605,80;20,98;9,90
2022-11;117.806,00;18,65;6.953.699.570,00;917,36;629,20;21,58;9,90
2022-12;207.963,00;18,77;7.285.133.891,00;945,76;662,70;20,56;10,40
2023-01;97.708,00;18,84;7.507.980.929,00;1.037,93;708,50;21,65;10,30
2023-02;80.031,00;19,01;7.711.269.243,00;1.065,53;768,10;21,01;10,70
2023-03;105.476,00;19,35;8.210.991.544,00;1.117,68;809,60;17,61;10,20
2023-04;85.652,00;19,79;8.572.113.860,00;1.166,53;847,40;18,59;10,00
2023-05;113.276,00;23,84;8.804.344.094,00;1.226,59;878,00;18,56;8,80
2023-06;83.636,00;26,50;9.564.604.472,00;1.297,74;921,00;21,29;9,00
2023-07;109.548,00;26,90;9.846.895.191,00;1.397,23;988,70;32,24;9,70
2023-08;122.091,00;27,02;9.923.805.535,00;1.507,60;1.043,10;36,22;9,20
2023-09;102.656,00;27,90;10.258.286.970,00;1.651,08;1.087,90;40,25;8,90
2023-10;93.761,00;28,67;10.479.350.311,00;1.781,61;1.129,50;41,53;8,20
2023-11;93.514,00;29,10;10.786.614.391,00;1.888,02;1.150,00;42,15;8,80
2023-12;138.577,00;30,08;11.189.475.576,00;1.972,63;1.163,30;42,09;8,90
2024-01;80.308,00;30,84;11.389.691.561,00;2.198,76;1.190,00;41,58;9,80
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
