Category: All categories

Month,dolar: (Türkiye)
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,<1
2013-01,<1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,3
2015-07,2
2015-08,3
2015-09,3
2015-10,2
2015-11,3
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,3
2016-07,4
2016-08,2
2016-09,2
2016-10,3
2016-11,5
2016-12,6
2017-01,7
2017-02,5
2017-03,5
2017-04,5
2017-05,4
2017-06,3
2017-07,4
2017-08,3
2017-09,4
2017-10,6
2017-11,6
2017-12,4
2018-01,4
2018-02,4
2018-03,5
2018-04,5
2018-05,12
2018-06,9
2018-07,11
2018-08,50
2018-09,21
2018-10,20
2018-11,13
2018-12,10
2019-01,10
2019-02,8
2019-03,15
2019-04,19
2019-05,20
2019-06,14
2019-07,15
2019-08,15
2019-09,11
2019-10,16
2019-11,8
2019-12,9
2020-01,8
2020-02,9
2020-03,12
2020-04,11
2020-05,12
2020-06,8
2020-07,7
2020-08,16
2020-09,12
2020-10,16
2020-11,27
2020-12,12
2021-01,11
2021-02,14
2021-03,24
2021-04,16
2021-05,13
2021-06,14
2021-07,11
2021-08,11
2021-09,13
2021-10,22
2021-11,54
2021-12,100
2022-01,34
2022-02,24
2022-03,23
2022-04,14
2022-05,25
2022-06,30
2022-07,23
2022-08,18
2022-09,17
2022-10,13
2022-11,12
2022-12,11
2023-01,10
2023-02,9
2023-03,9
2023-04,11
2023-05,16
2023-06,34
2023-07,23
2023-08,18
2023-09,15
2023-10,16
2023-11,14
2023-12,12
2024-01,11
2024-02,10
2024-03,12
