Category: All categories

Month,ev fiyatları: (Türkiye)
2011-09,27
2011-10,22
2011-11,23
2011-12,19
2012-01,18
2012-02,19
2012-03,20
2012-04,21
2012-05,20
2012-06,21
2012-07,21
2012-08,22
2012-09,22
2012-10,18
2012-11,16
2012-12,15
2013-01,17
2013-02,19
2013-03,19
2013-04,19
2013-05,20
2013-06,20
2013-07,24
2013-08,26
2013-09,24
2013-10,24
2013-11,22
2013-12,20
2014-01,20
2014-02,23
2014-03,22
2014-04,23
2014-05,22
2014-06,25
2014-07,29
2014-08,29
2014-09,22
2014-10,20
2014-11,24
2014-12,23
2015-01,24
2015-02,24
2015-03,25
2015-04,24
2015-05,25
2015-06,27
2015-07,31
2015-08,32
2015-09,28
2015-10,25
2015-11,26
2015-12,24
2016-01,25
2016-02,28
2016-03,28
2016-04,27
2016-05,28
2016-06,28
2016-07,34
2016-08,34
2016-09,30
2016-10,26
2016-11,26
2016-12,27
2017-01,29
2017-02,36
2017-03,31
2017-04,34
2017-05,31
2017-06,34
2017-07,37
2017-08,36
2017-09,30
2017-10,29
2017-11,25
2017-12,26
2018-01,30
2018-02,30
2018-03,30
2018-04,29
2018-05,30
2018-06,36
2018-07,43
2018-08,47
2018-09,39
2018-10,30
2018-11,30
2018-12,28
2019-01,28
2019-02,27
2019-03,30
2019-04,29
2019-05,25
2019-06,36
2019-07,39
2019-08,46
2019-09,34
2019-10,28
2019-11,28
2019-12,27
2020-01,33
2020-02,34
2020-03,30
2020-04,37
2020-05,50
2020-06,62
2020-07,53
2020-08,56
2020-09,45
2020-10,40
2020-11,40
2020-12,41
2021-01,40
2021-02,36
2021-03,38
2021-04,35
2021-05,44
2021-06,42
2021-07,48
2021-08,48
2021-09,36
2021-10,36
2021-11,37
2021-12,39
2022-01,43
2022-02,45
2022-03,47
2022-04,42
2022-05,60
2022-06,52
2022-07,61
2022-08,60
2022-09,53
2022-10,45
2022-11,39
2022-12,42
2023-01,52
2023-02,100
2023-03,64
2023-04,47
2023-05,46
2023-06,54
2023-07,58
2023-08,59
2023-09,45
2023-10,37
2023-11,37
2023-12,40
2024-01,37
2024-02,35
2024-03,32
