Category: All categories

Month,konut kredisi: (Türkiye)
2011-09,7
2011-10,7
2011-11,7
2011-12,5
2012-01,5
2012-02,8
2012-03,8
2012-04,7
2012-05,6
2012-06,6
2012-07,6
2012-08,6
2012-09,9
2012-10,8
2012-11,9
2012-12,13
2013-01,9
2013-02,9
2013-03,8
2013-04,10
2013-05,13
2013-06,10
2013-07,9
2013-08,9
2013-09,9
2013-10,7
2013-11,8
2013-12,7
2014-01,9
2014-02,9
2014-03,7
2014-04,9
2014-05,9
2014-06,9
2014-07,11
2014-08,10
2014-09,10
2014-10,7
2014-11,8
2014-12,8
2015-01,10
2015-02,11
2015-03,10
2015-04,8
2015-05,9
2015-06,8
2015-07,8
2015-08,9
2015-09,8
2015-10,7
2015-11,11
2015-12,9
2016-01,8
2016-02,9
2016-03,9
2016-04,11
2016-05,10
2016-06,9
2016-07,9
2016-08,36
2016-09,17
2016-10,13
2016-11,20
2016-12,10
2017-01,14
2017-02,24
2017-03,10
2017-04,10
2017-05,11
2017-06,9
2017-07,11
2017-08,10
2017-09,10
2017-10,10
2017-11,11
2017-12,10
2018-01,12
2018-02,12
2018-03,12
2018-04,11
2018-05,35
2018-06,16
2018-07,22
2018-08,25
2018-09,27
2018-10,15
2018-11,16
2018-12,28
2019-01,17
2019-02,29
2019-03,32
2019-04,16
2019-05,12
2019-06,17
2019-07,27
2019-08,60
2019-09,44
2019-10,30
2019-11,28
2019-12,32
2020-01,36
2020-02,29
2020-03,21
2020-04,15
2020-05,28
2020-06,100
2020-07,37
2020-08,34
2020-09,21
2020-10,18
2020-11,16
2020-12,12
2021-01,14
2021-02,13
2021-03,16
2021-04,11
2021-05,12
2021-06,14
2021-07,13
2021-08,16
2021-09,15
2021-10,22
2021-11,23
2021-12,19
2022-01,17
2022-02,16
2022-03,17
2022-04,15
2022-05,45
2022-06,21
2022-07,17
2022-08,15
2022-09,15
2022-10,13
2022-11,11
2022-12,15
2023-01,56
2023-02,17
2023-03,16
2023-04,15
2023-05,15
2023-06,15
2023-07,17
2023-08,18
2023-09,17
2023-10,15
2023-11,12
2023-12,10
2024-01,12
2024-02,13
2024-03,13
