Category: All categories

Month,kredi: (Türkiye)
2011-09,34
2011-10,33
2011-11,31
2011-12,34
2012-01,32
2012-02,34
2012-03,32
2012-04,29
2012-05,29
2012-06,29
2012-07,36
2012-08,37
2012-09,41
2012-10,38
2012-11,38
2012-12,38
2013-01,38
2013-02,38
2013-03,39
2013-04,38
2013-05,40
2013-06,37
2013-07,41
2013-08,38
2013-09,42
2013-10,42
2013-11,40
2013-12,40
2014-01,40
2014-02,39
2014-03,34
2014-04,38
2014-05,38
2014-06,42
2014-07,42
2014-08,41
2014-09,50
2014-10,49
2014-11,44
2014-12,50
2015-01,48
2015-02,47
2015-03,46
2015-04,41
2015-05,37
2015-06,40
2015-07,44
2015-08,43
2015-09,43
2015-10,43
2015-11,43
2015-12,50
2016-01,42
2016-02,46
2016-03,41
2016-04,40
2016-05,40
2016-06,41
2016-07,38
2016-08,47
2016-09,46
2016-10,48
2016-11,49
2016-12,44
2017-01,43
2017-02,47
2017-03,47
2017-04,40
2017-05,43
2017-06,45
2017-07,48
2017-08,47
2017-09,45
2017-10,46
2017-11,43
2017-12,44
2018-01,41
2018-02,40
2018-03,39
2018-04,39
2018-05,42
2018-06,36
2018-07,44
2018-08,41
2018-09,42
2018-10,41
2018-11,38
2018-12,38
2019-01,45
2019-02,46
2019-03,47
2019-04,40
2019-05,37
2019-06,38
2019-07,46
2019-08,55
2019-09,58
2019-10,51
2019-11,52
2019-12,49
2020-01,49
2020-02,45
2020-03,54
2020-04,100
2020-05,81
2020-06,87
2020-07,58
2020-08,48
2020-09,39
2020-10,41
2020-11,39
2020-12,38
2021-01,36
2021-02,37
2021-03,40
2021-04,36
2021-05,36
2021-06,38
2021-07,41
2021-08,40
2021-09,40
2021-10,41
2021-11,43
2021-12,42
2022-01,37
2022-02,39
2022-03,40
2022-04,45
2022-05,50
2022-06,45
2022-07,44
2022-08,52
2022-09,46
2022-10,44
2022-11,45
2022-12,46
2023-01,53
2023-02,41
2023-03,44
2023-04,49
2023-05,44
2023-06,41
2023-07,43
2023-08,42
2023-09,44
2023-10,44
2023-11,44
2023-12,43
2024-01,40
2024-02,44
2024-03,45
