Category: All categories

Month,satılık ev: (Türkiye)
2011-09,17
2011-10,15
2011-11,16
2011-12,17
2012-01,16
2012-02,14
2012-03,16
2012-04,15
2012-05,13
2012-06,14
2012-07,17
2012-08,18
2012-09,16
2012-10,15
2012-11,14
2012-12,18
2013-01,16
2013-02,18
2013-03,20
2013-04,22
2013-05,21
2013-06,17
2013-07,21
2013-08,25
2013-09,24
2013-10,19
2013-11,21
2013-12,18
2014-01,22
2014-02,24
2014-03,22
2014-04,21
2014-05,21
2014-06,21
2014-07,24
2014-08,26
2014-09,24
2014-10,24
2014-11,26
2014-12,22
2015-01,23
2015-02,28
2015-03,31
2015-04,25
2015-05,25
2015-06,24
2015-07,29
2015-08,30
2015-09,26
2015-10,25
2015-11,27
2015-12,26
2016-01,28
2016-02,33
2016-03,33
2016-04,33
2016-05,33
2016-06,29
2016-07,32
2016-08,38
2016-09,36
2016-10,38
2016-11,34
2016-12,31
2017-01,34
2017-02,43
2017-03,37
2017-04,35
2017-05,33
2017-06,34
2017-07,43
2017-08,36
2017-09,36
2017-10,34
2017-11,33
2017-12,32
2018-01,35
2018-02,34
2018-03,35
2018-04,32
2018-05,33
2018-06,32
2018-07,39
2018-08,37
2018-09,35
2018-10,28
2018-11,24
2018-12,25
2019-01,29
2019-02,31
2019-03,32
2019-04,28
2019-05,26
2019-06,34
2019-07,35
2019-08,46
2019-09,41
2019-10,39
2019-11,34
2019-12,38
2020-01,46
2020-02,42
2020-03,34
2020-04,38
2020-05,63
2020-06,100
2020-07,72
2020-08,70
2020-09,53
2020-10,49
2020-11,43
2020-12,40
2021-01,46
2021-02,44
2021-03,42
2021-04,40
2021-05,49
2021-06,48
2021-07,50
2021-08,49
2021-09,45
2021-10,44
2021-11,44
2021-12,46
2022-01,45
2022-02,47
2022-03,50
2022-04,47
2022-05,56
2022-06,49
2022-07,49
2022-08,47
2022-09,39
2022-10,36
2022-11,34
2022-12,35
2023-01,47
2023-02,48
2023-03,43
2023-04,38
2023-05,35
2023-06,36
2023-07,44
2023-08,41
2023-09,35
2023-10,31
2023-11,27
2023-12,28
2024-01,28
2024-02,25
2024-03,24
